College Name,Course Name,Category,Rank,Percentage
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Computer Science and Engineering,LOBC,8894,84
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Electrical Engineering,CAP,7165,85.26
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Electrical Engineering,II,7648,84.89
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Electrical Engineering,AY,9853,83.39
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Electronics and Telecommunication Engg,VII,8019,84.63
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Mechanical Engineering,CAP,30488,72.35
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Mechanical Engineering,II,30901,72.15
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Mechanical Engineering,AY,37258,68.97
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Artificial Intelligence and Data Science,VII,8904,84
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Civil Engineering,CAP,17345,78.95
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Civil Engineering,II,27057,73.95
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Civil Engineering,AY,19089,77.95
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,GOPEN,10689,82.86
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,GSC,26540,74.23
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,GST,45663,62.89
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,GOBC,11486,82.34
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,LOPEN,12124,81.94
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,LSC,21999,76.46
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,LOBC,13072,81.37
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,EWS,21568,76.68
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Information Technology,CAP,27936,73.56
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Information Technology,II,26357,74.31
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Information Technology,AY,13357,81.2
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Electronics and Telecommunication Engg,VII,19340,77.83
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Mechanical Engineering,CAP,30094,72.56
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Mechanical Engineering,II,32360,71.44
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Mechanical Engineering,AY,33082,71.08
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Civil Engineering,II,27414,73.79
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Computer Science and Engineering,CAP,23057,75.94
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Computer Science and Engineering,II,38212,68.46
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Computer Science and Engineering,AY,43793,64.8
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Chemical Engineering,VII,45359,63.26
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Civil Engineering,GOPEN,26738,74.11
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Computer Science and Engineering,CAP,26543,74.23
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Computer Science and Engineering,II,33673,70.79
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Computer Science and Engineering,AY,29770,72.71
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Electrical Engg[Electronics and Power],VII,42998,65.44
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Artificial Intelligence and Data Science,CAP,35731,69.77
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Artificial Intelligence and Data Science,II,36760,69.26
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Artificial Intelligence and Data Science,AY,39973,67.49
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Computer Science and Engineering,VII,28368,73.37
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Information Technology,CAP,35459,69.89
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Information Technology,II,32731,71.26
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Information Technology,AY,31411,71.89
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Electronics and Telecommunication Engg,VII,43406,65.14
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Civil Engineering,GOPEN,48075,58.42
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Electrical Engineering,MI,28421,73.33
